targa,tratta,volte
8529534,4-,1
8529536,3-,1
8529544,22-,1
6611378,22-,1
1581156,9-,1
8529550,2-,1
878241,20-16-,1
2971035,20-,1
8529560,22-,1
8529562,11-,1
8529563,16-4-,1
8529568,25-,1
8529571,19-,1
401708,4-,1
145431,8-,1
4573309,8-,1
8529576,9-,1
8529591,18-,1
5141872,3-,1
8529600,18-,1
8529605,8-,1
8529607,9-,1
8529608,3-,1
2414835,9-,1
8529622,25-,1
8529629,5-,1
8529632,2-,1
145657,16-,1
8529636,4-,1
500,4-,1
8529646,13-,1
3500473,10-,1
8529668,19-,1
8529681,16-,1
8213641,20-,1
8529690,5-,1
8529691,8-,1
5029194,18-,1
8529703,5-,1
8529704,13-,1
641065,10-,1
8529707,13-,1
8529717,9-,1
6212139,16-,1
3011049,2-,1
1049408,4-,1
8529727,5-,1
2365013,22-,1
8529738,20-,1
5807325,1-,1
3011185,5-,1
8529758,23-,1
8529760,5-,1
8529770,16-,1
8529775,23-,1
3915202,3-,1
8529777,5-,1
8529781,11-,1
8529788,13-,1
8529797,18-,1
8529798,16-,1
8529799,22-,1
2584754,12-,1
1147201,22-,1
8529822,4-,1
8529825,25-,1
1747145,16-,1
7638238,22-,1
879525,23-5-,1
8529837,4-,1
6853062,8-,1
8529869,9-,1
277169,11-,1
8529885,2-,1
8529899,12-,1
7816632,5-,1
8529920,11-,1
2714369,2-,1
8529923,6-,1
8529927,20-,1
8529929,18-,1
8529932,17-,1
493476,25-,1
793657,12-,1
710044,23-,1
710046,14-,1
8529958,9-,1
3915582,11-,1
1382248,2-,1
1049722,1-20-,1
8529977,12-,1
7816762,1-12-,1
8529991,10-,1
8382951,4-,1
8530006,2-,1
8530010,11-,1
8530015,5-,1
8530021,7-,1
8382999,22-,1
8530030,9-,1
4696335,10-,1
8530033,20-,1
8530055,18-,1
8530059,4-,1
8530060,9-,1
8530067,23-,1
8530073,2-,1
8530076,5-,1
8530080,9-,1
8530086,10-,1
2416201,5-,1
8530098,2-,1
8530117,12-,1
8530139,12-,1
4879420,3-,1
7470479,3-,1
4696473,23-,1
4210812,3-,1
8530150,13-,1
8530153,10-,1
7702544,13-,1
8530169,5-,1
8530171,2-,1
8383222,4-,1
8530177,5-,1
8530188,25-,1
2191006,23-,1
8530190,16-,1
8383250,6-,1
147654,4-,1
8530203,19-,1
8530208,18-,1
8269494,11-,1
8530214,16-,1
8530218,10-,1
8530219,4-,1
642504,18-8-3-,1
8530220,18-,1
8530222,12-,1
8269504,2-,1
3843278,10-18-8-,1
8530235,9-18-,1
8530243,5-,1
8530248,18-,1
8530267,10-,1
8530268,20-,1
8530270,18-5-,1
8383379,9-,1
8530282,13-,1
8530288,5-,1
8530294,10-,1
8530295,20-,1
8530296,16-,1
3223619,20-,1
8530300,16-,1
7639311,8-,1
493690,7-,1
8330300,16-,1
8474665,16-,1
8530324,18-,1
8530333,11-,1
8530339,14-,1
6181246,4-,1
8530348,19-,1
8530351,11-,1
8530352,19-,1
493706,14-,1
8530358,2-,1
8530359,23-,1
4493024,1-,1
3604472,25-,1
8530365,11-,1
5683420,25-,1
8530378,10-,1
8530380,2-,1
493713,12-,1
2765,10-,1
8530393,4-,1
8530409,10-,1
7577095,11-,1
8530428,19-,1
8530433,3-,1
8530456,1-,1
8530461,20-,1
8530469,9-,1
8530471,5-,1
8530472,4-,1
8530473,7-,1
8530476,3-,1
8530483,5-,1
8269866,8-,1
8530487,6-,1
8530499,16-,1
8530502,10-,1
8530521,25-,1
8530534,9-,1
8530542,19-,1
8530555,16-,1
8530571,12-,1
8530576,3-,1
8530579,20-,1
2831506,25-,1
8530605,5-,1
3354,4-,1
1582478,19-,1
8530622,22-,1
2029937,8-,1
8530623,8-,1
8530624,19-,1
8530645,8-,1
8530647,23-,1
711808,16-,1
8215908,10-,1
8530668,17-,1
8530674,4-,1
8530675,11-,1
8530693,22-,1
8530694,23-,1
8530695,7-,1
8530698,9-,1
8530700,10-,1
7498930,18-,1
8530710,9-,1
8530724,25-,1
8530726,19-,1
8530732,19-,1
8530736,23-,1
8530744,14-,1
2464027,8-,1
795825,8-,1
795831,23-,1
795833,18-,1
4697295,23-,1
8530757,23-,1
8530767,11-,1
8530782,4-,1
3747880,9-,1
493865,25-,1
8530794,10-18-,1
8530798,22-,1
8530800,10-,1
3425173,8-,1
8530808,20-,1
8475588,18-5-,1
2756482,20-,1
7971299,10-,1
8530820,4-,1
280369,9-,1
8530826,12-,1
8530829,4-,1
8530830,11-20-,1
3013408,11-20-,1
8530841,14-,1
8530848,25-,1
8530855,20-2-,1
8384429,2-,1
4494036,8-,1
149438,10-,1
8530864,9-,1
1311096,5-,1
149453,5-,1
8530867,8-,1
149459,23-5-,1
796035,9-,1
1050614,18-23-,1
149477,23-,1
563164,23-5-,1
8530877,5-,1
1050628,13-,1
796053,9-,1
149491,10-,1
149496,13-,1
712216,10-,1
8384460,16-,1
8216277,16-,1
8530891,4-,1
280458,23-8-,1
149521,3-13-,1
1050642,5-,1
149540,18-3-,1
149549,9-,1
1233773,18-,1
280472,8-,1
8530901,3-,1
8530902,5-,1
149554,23-,1
2464131,9-,1
2715873,23-,1
8530910,9-,1
149565,10-,1
280475,3-,1
149566,5-,1
149567,10-,1
149579,23-5-13-,1
7640525,18-,1
1050662,13-,1
1050663,5-,1
149586,5-,1
1050665,23-,1
149596,23-,1
8530921,18-,1
8530922,23-,1
8530929,14-,1
8530936,23-,1
8530961,10-,1
8530962,14-,1
8530964,14-,1
1050734,14-,1
8530974,23-,1
8530979,22-,1
8530986,5-,1
8530988,12-,1
1233877,9-,1
8531002,23-8-,1
8531005,20-,1
8531016,25-,1
8531017,1-,1
4062218,4-,1
8531025,18-,1
149762,3-,1
8531032,11-,1
7971560,25-,1
8531039,10-5-,1
8531053,25-,1
8531055,4-,1
8531058,23-,1
8531061,10-,1
8531063,3-,1
8531079,10-,1
8531082,20-,1
8531085,14-,1
8531086,18-,1
643770,1-,1
8384757,16-,1
8531101,11-,1
1384170,25-,1
8531104,19-,1
1233958,8-,1
3324099,10-,1
882800,9-,1
8531130,25-,1
8531133,10-,1
3324107,9-,1
1050884,3-,1
8531137,13-,1
8531139,10-,1
149883,9-,1
149887,10-,1
149895,10-5-,1
1583102,5-,1
1311349,9-23-,1
149901,10-,1
8531144,5-,1
3606374,5-,1
149908,23-,1
8531145,25-,1
4137690,18-,1
149911,8-,1
4494457,23-,1
149941,5-,1
8531150,23-,1
8384851,5-,1
149953,23-,1
149955,13-,1
2942540,13-,1
149980,13-,1
8531152,23-,1
149989,18-,1
4062346,5-,1
3748448,9-,1
7228313,5-,1
150001,23-,1
1050923,8-,1
5732008,24-,1
3606430,23-,1
