targa,tratta,volte
13867510,10-,1
13867511,18-,1
2679808,8-,1
13867512,18-,1
145331,1-,1
17,1-,1
275441,3-13-,1
6028047,20-,1
2871654,13-,1
2906545,1-,1
4133850,12-,1
1145950,4-,1
3380207,15-14-,1
401631,4-,1
8963833,1-,1
878195,1-,1
275476,15-8-,1
2500732,18-,1
2147095,12-,1
11158592,1-,1
13867524,12-,1
1525127,24-,1
401649,4-,1
1465186,3-,1
11242469,10-23-15-,1
401662,8-,1
2713312,10-,1
12036512,27-,1
13556124,11-,1
981338,10-,1
2026571,15-,1
275541,15-,1
13524746,1-,1
401707,10-,1
119,18-,1
401708,10-15-,1
401710,15-,1
130,5-,1
13867533,22-,1
133,15-,1
3010516,2-,1
13867536,6-,1
140,10-,1
6473552,18-,1
13867540,10-,1
3010528,8-,1
5141856,18-,1
2500799,20-,1
5839016,27-,1
182,10-18-2-,1
187,12-,1
2713355,22-,1
1525213,20-,1
559919,1-12-,1
13867553,4-,1
13867554,15-,1
275659,6-,1
6028143,1-,1
6108379,12-16-,1
9008133,18-23-,1
275699,3-,1
145504,14-,1
145508,14-,1
3841536,23-,1
4272436,19-8-13-,1
254,1-,1
257,16-20-23-13-23-20-5-,1
145525,20-,1
145530,8-,1
267,24-20-12-20-,1
708564,22-,1
13867569,7-,1
274,23-,1
13867573,4-,1
708577,16-,1
275758,27-,1
13867575,8-,1
275772,10-,1
13556227,4-,1
878441,27-,1
306,20-,1
792272,18-,1
145576,2-,1
1645483,27-,1
878461,1-,1
332,2-20-,1
334,10-,1
8918067,11-,1
336,3-,1
1645503,27-2-,1
13867593,16-,1
371,16-,1
145638,18-10-,1
13867596,2-,1
13867599,2-,1
13867601,14-,1
13867602,14-,1
13867603,24-,1
13867604,15-,1
401918,20-,1
401920,13-,1
13867608,11-,1
410,15-,1
1465397,20-,1
560027,5-,1
493246,18-,1
433,4-,1
981551,10-,1
13867612,23-,1
13867616,5-,1
13867617,23-,1
145703,15-,1
2500928,5-,1
13867622,8-,1
640769,16-,1
13867631,13-,1
275992,15-,1
1308881,3-,1
878634,2-,1
13867641,27-,1
2871816,1-,1
402043,23-,1
500,12-2-5-23-16-10-10-24-5-13-23-,1
402045,17-4-,1
640796,10-,1
