targa,tratta,volte
1333248,1-12-14-19-8-3-,1
345166,22-1-12-,1
1982278,13-,1
440351,12-2-23-5-8-13-,1
6608351,25-,1
79054,17-7-,1
5626224,16-,1
439185,26-5-8-3-13-,1
227391,6-,1
361325,14-8-,1
609460,9-26-,1
6581188,24-,1
49112,6-,2
537938,22-1-12-20-2-16-4-21-,1
5924464,3-,1
2394677,24-,1
3362,10-12-5-26-,1
142583,27-9-26-10-23-15-5-,1
152014,2-,1
50299,27-21-,1
840764,1-,1
6582051,9-,1
220913,6-,1
1485196,12-14-19-8-,1
204220,17-7-,1
6595708,9-,1
6590382,27-,1
6596812,9-,1
597278,8-3-,1
2293115,17-,1
168370,26-23-15-5-,1
5761545,22-1-12-,1
20489,24-,1
1045112,8-3-,1
2338041,12-25-20-2-7-6-,1
3412037,8-,1
2881236,24-,1
903613,24-,1
6595775,16-4-,1
3863425,1-4-,1
6516961,27-9-26-10-23-15-5-8-3-13-,1
6202245,23-,1
59183,17-16-10-7-,1
6603331,9-,1
6596472,9-26-10-7-17-16-4-,1
6605469,2-,1
445098,8-,1
57051,9-10-5-8-3-1-12-20-2-,1
461205,13-,1
196971,7-,1
5787259,21-,1
91914,3-13-,1
600013,22-1-12-25-20-2-7-17-23-15-5-8-3-,1
1490189,9-26-10-16-4-,1
525396,24-,1
4686292,3-,1
42688,24-,1
1556643,22-1-3-,1
6589390,7-,1
6584908,20-,1
509341,17-23-15-5-8-3-13-22-1-12-25-20-2-7-,1
5965925,9-10-23-15-5-14-,1
6598152,1-3-13-,1
1290578,22-1-3-,1
971814,26-,1
6596232,24-,1
6590533,5-,1
6591179,1-,1
87127,27-9-26-10-23-,1
1723887,3-,1
1146868,13-,1
79097,17-23-15-5-8-,1
1794514,16-,1
3142368,27-,1
167031,23-,1
1992059,1-12-7-6-,1
24915,12-20-4-,1
1392313,19-,1
31122,17-23-2-7-,1
64635,17-23-15-5-8-3-1-12-25-20-2-7-,1
6599828,9-,1
5763523,6-,1
6592829,10-,1
63254,15-5-14-,1
456263,22-1-12-14-11-19-25-20-15-5-8-3-13-,1
6599401,9-,1
2124385,27-21-,1
28673,11-19-8-3-13-22-1-12-14-,1
1079762,7-17-,1
5619288,21-,1
6588919,17-,1
338061,4-21-27-9-26-10-,1
2529859,27-,1
19255,6-24-,1
6611234,8-,1
6611189,2-,1
249086,26-,1
6609822,9-,1
3591340,20-,1
5608508,21-,1
5618663,19-8-3-,1
6581737,14-,1
221843,9-26-10-23-15-5-8-3-13-22-1-12-25-20-2-16-4-21-,1
6610713,2-,1
39949,6-24-,1
44839,14-19-,2
5919441,9-26-10-5-8-3-,1
30841,20-21-,1
1124897,3-,1
6603941,21-,1
55027,19-25-5-14-,1
2820416,9-10-7-,1
92170,7-17-,2
2798907,1-16-,1
6516092,21-21-,1
2748661,23-,1
1371460,12-16-,1
459498,9-26-10-23-15-5-14-11-19-12-25-2-16-4-,1
746086,24-6-,1
6604239,5-,1
273671,9-26-10-23-15-5-,1
424854,9-,1
191843,21-27-,1
166188,9-,1
4076707,1-20-7-17-,1
6584105,9-,1
6586470,8-,1
4496638,5-,1
6608897,10-,1
1500434,24-6-,1
6585286,19-,1
71726,17-7-,1
658940,20-2-16-4-21-,1
66636,7-17-,1
6588328,15-,1
47735,21-21-27-,1
763526,6-,1
480608,22-1-12-14-,1
449105,21-,1
667952,6-,1
1253187,21-27-,1
30491,1-3-,1
449099,27-9-26-10-16-4-21-21-,1
128178,9-26-10-5-8-3-13-,1
82087,20-2-27-9-26-10-23-19-20-2-16-4-,1
334702,15-5-14-19-20-,1
3449225,16-4-21-,1
578085,9-,1
606042,9-26-10-23-15-5-8-3-13-,1
68400,2-16-4-9-26-10-,1
6599383,11-19-25-20-16-4-,1
6589164,9-,1
1206119,10-,1
210265,21-,1
1672784,27-21-,1
1076292,24-24-,1
47595,7-17-,2
350802,7-6-24-17-,2
18996,9-10-23-15-8-3-13-,1
1558801,9-21-,1
95902,21-27-,1
667530,27-27-21-,1
203286,14-19-,2
5627569,22-1-12-25-20-2-16-4-,1
181341,27-9-17-,1
846423,21-,1
902916,27-9-10-23-,1
669428,11-19-25-20-2-7-17-23-15-5-14-,1
99620,23-,1
143709,2-16-4-,1
